run_date,week,author,tokens,share_pct,is_residual,is_us
2026-08-26,2026-06-01,tencent,2942496831524,8.145,0,0
2026-08-26,2026-06-01,openai,2883253135976,7.981,0,1
2026-08-26,2026-06-01,openrouter,1948290142797,5.393,0,0
2026-08-26,2026-06-01,qwen,1450883544302,4.016,0,0
2026-08-26,2026-06-01,others,4587026452102,12.697,1,0
2026-08-26,2026-06-08,deepseek,7720102677178,17.307,0,0
2026-08-26,2026-06-08,anthropic,6834980466012,15.323,0,1
2026-08-26,2026-06-08,minimax,4676750497999,10.485,0,0
2026-08-26,2026-06-08,google,4385922763647,9.833,0,1
2026-08-26,2026-06-08,xiaomi,4180109576168,9.371,0,0
2026-08-26,2026-06-08,tencent,4136516729142,9.273,0,0
2026-08-26,2026-06-08,openai,3163995951930,7.093,0,1
2026-08-26,2026-06-08,openrouter,2470965986095,5.54,0,0
2026-08-26,2026-06-08,qwen,1313804802513,2.945,0,0
2026-08-26,2026-06-08,others,5722662572186,12.829,1,0
2026-08-26,2026-06-15,deepseek,8652288919260,18.548,0,0
2026-08-26,2026-06-15,anthropic,6576998717409,14.099,0,1
2026-08-26,2026-06-15,xiaomi,4487717621181,9.62,0,0
2026-08-26,2026-06-15,google,4170159837692,8.94,0,1
2026-08-26,2026-06-15,minimax,4075553182769,8.737,0,0
2026-08-26,2026-06-15,openai,3756810681653,8.054,0,1
2026-08-26,2026-06-15,tencent,3626720453692,7.775,0,0
2026-08-26,2026-06-15,z-ai,2591418562328,5.555,0,0
2026-08-26,2026-06-15,openrouter,2561996364122,5.492,0,0
2026-08-26,2026-06-15,others,6148241226109,13.18,1,0
2026-08-26,2026-06-22,deepseek,7628755372847,16.329,0,0
2026-08-26,2026-06-22,anthropic,6485610599368,13.882,0,1
2026-08-26,2026-06-22,xiaomi,4968795450246,10.635,0,0
2026-08-26,2026-06-22,google,4065421811624,8.702,0,1
2026-08-26,2026-06-22,minimax,3972939590820,8.504,0,0
2026-08-26,2026-06-22,openai,3656430448198,7.826,0,1
2026-08-26,2026-06-22,openrouter,3474837878336,7.438,0,0
2026-08-26,2026-06-22,tencent,3361426446332,7.195,0,0
2026-08-26,2026-06-22,z-ai,2671757242032,5.719,0,0
2026-08-26,2026-06-22,others,6434373352632,13.772,1,0
2026-08-26,2026-06-29,deepseek,8345180092200,17.862,0,0
2026-08-26,2026-06-29,anthropic,7135007845400,15.272,0,1
2026-08-26,2026-06-29,xiaomi,4937923834031,10.569,0,0
2026-08-26,2026-06-29,google,4328353156691,9.265,0,1
2026-08-26,2026-06-29,minimax,4271631216809,9.143,0,0
2026-08-26,2026-06-29,openai,3687953183684,7.894,0,1
2026-08-26,2026-06-29,tencent,3127530873037,6.694,0,0
2026-08-26,2026-06-29,z-ai,3109902932062,6.657,0,0
2026-08-26,2026-06-29,nvidia,1619083331124,3.466,0,1
