run_date,as_of,window_days,category,subcategory,sort,rank,app_id,app_name,total_tokens,total_requests
2026-07-28,2026-07-27,7,coding,,popular,37,3365484,Opair,2783672803,60482
2026-07-28,2026-07-27,7,coding,,popular,38,4069892,Multi-Agent Arena - Olam Labs,2766637461,131343
2026-07-28,2026-07-27,7,coding,,popular,39,2304560,PostQode,2457405439,28724
2026-07-28,2026-07-27,7,coding,,popular,40,2567728,Slate Agent,2360313979,33976
2026-07-28,2026-07-27,7,coding,,popular,41,3973594,TriClaps,2303807727,18487
2026-07-28,2026-07-27,7,coding,,popular,42,2842396,JONI,2282143943,29566
2026-07-28,2026-07-27,7,coding,,popular,43,3662528,Aexol.ai,2258385994,39825
2026-07-28,2026-07-27,7,coding,,popular,44,3646257,Vellum Assistant,2118731918,36806
2026-07-28,2026-07-27,7,coding,,popular,45,143418,Aider,2100750417,63961
2026-07-28,2026-07-27,7,coding,,popular,46,3265313,Clark - Personal Agent,2015840959,219729
2026-07-28,2026-07-27,7,coding,,popular,47,3149465,Kern Agent,1888663715,22395
2026-07-28,2026-07-27,7,coding,,popular,48,4397443,wakil,1866207939,15692
2026-07-28,2026-07-27,7,coding,,popular,49,3131593,starchild,1802682920,51092
2026-07-28,2026-07-27,7,coding,,popular,50,3449013,OpenRouter Chat Provider for VSCode,1540533269,13882
2026-07-28,2026-07-27,7,coding,cli-agent,popular,1,3067167,Hermes Agent,6781717949623,82068364
2026-07-28,2026-07-27,7,coding,cli-agent,popular,2,2262242,Kilo Code,1747609375958,23372992
2026-07-28,2026-07-27,7,coding,cli-agent,popular,3,2627404,Claude Code,1527964884094,16705302
2026-07-28,2026-07-27,7,coding,cli-agent,popular,4,2725608,OpenClaw,955904036578,20945339
2026-07-28,2026-07-27,7,coding,cli-agent,popular,5,2853275,pi,602952451980,8645632
2026-07-28,2026-07-27,7,coding,cli-agent,popular,6,190604,Cline,564508598121,5525563
2026-07-28,2026-07-27,7,coding,cli-agent,popular,7,2668297,Codex,220898770087,2493882
2026-07-28,2026-07-27,7,coding,cli-agent,popular,8,3682314,Oh-My-Pi,138456877751,1269012
2026-07-28,2026-07-27,7,coding,cli-agent,popular,9,1275184,Codebuff,87008336235,6030797
2026-07-28,2026-07-27,7,coding,cli-agent,popular,10,2237546,Cursor,78963688166,726178
2026-07-28,2026-07-27,7,coding,cli-agent,popular,11,189563,OpenHands,49289095438,998273
2026-07-28,2026-07-27,7,coding,cli-agent,popular,12,2640550,Peezy Gateway,46363770725,834317
